1,1,text1-1,text2-1,text3-1,text4-1,text5-1,text6-1,text7-1,text8-1,1,1
2,2,text1-2,text2-2,text3-2,text4-2,text5-2,text6-2,text7-2,text8-2,2,2
3,3,text1-3,text2-3,text3-3,text4-3,text5-3,text6-3,text7-3,text8-3,3,3
4,4,text1-4,text2-4,text3-4,text4-4,text5-4,text6-4,text7-4,text8-4,4,4
5,5,text1-5,text2-5,text3-5,text4-5,text5-5,text6-5,text7-5,text8-5,5,5
6,6,text1-6,text2-6,text3-6,text4-6,text5-6,text6-6,text7-6,text8-6,6,6
7,7,text1-7,text2-7,text3-7,text4-7,text5-7,text6-7,text7-7,text8-7,7,7
8,8,text1-8,text2-8,text3-8,text4-8,text5-8,text6-8,text7-8,text8-8,8,8
9,9,text1-9,text2-9,text3-9,text4-9,text5-9,text6-9,text7-9,text8-9,9,9
10,10,text1-10,text2-10,text3-10,text4-10,text5-10,text6-10,text7-10,text8-10,10,10
11,11,text1-11,text2-11,text3-11,text4-11,text5-11,text6-11,text7-11,text8-11,11,11
12,12,text1-12,text2-12,text3-12,text4-12,text5-12,text6-12,text7-12,text8-12,12,12
13,13,text1-13,text2-13,text3-13,text4-13,text5-13,text6-13,text7-13,text8-13,13,13
14,14,text1-14,text2-14,text3-14,text4-14,text5-14,text6-14,text7-14,text8-14,14,14
15,15,text1-15,text2-15,text3-15,text4-15,text5-15,text6-15,text7-15,text8-15,15,15
16,16,text1-16,text2-16,text3-16,text4-16,text5-16,text6-16,text7-16,text8-16,16,16
17,17,text1-17,text2-17,text3-17,text4-17,text5-17,text6-17,text7-17,text8-17,17,17
18,18,text1-18,text2-18,text3-18,text4-18,text5-18,text6-18,text7-18,text8-18,18,18
19,19,text1-19,text2-19,text3-19,text4-19,text5-19,text6-19,text7-19,text8-19,19,19
20,20,text1-20,text2-20,text3-20,text4-20,text5-20,text6-20,text7-20,text8-20,20,20
21,21,text1-21,text2-21,text3-21,text4-21,text5-21,text6-21,text7-21,text8-21,21,21
